,0,1,2
0,51834385349226.21,16786527981.340363,95952111667.35349
1,51199837793965.86,17410796673.996765,101017481179.987
2,51834613191107.664,16786178473.186188,95952156004.51181
3,51200001982156.266,17410450028.32776,101017605332.78055
4,51199854434681.22,17410763965.83969,101017501119.1983
5,51837955688450.95,16778321248.755615,95968658995.56915
6,51202795017590.51,17403987278.53186,101017038220.22336
7,51838337587570.805,16777714217.53653,95968566647.96698
8,51838321402054.56,16777758555.173737,95967515968.71487
9,51201768514440.91,17406785888.95038,101016262161.96844
10,51206019214040.38,17398772362.59729,101025703022.49606
11,51204385079470.49,17400018865.60959,101013887479.51892
12,51836378507650.46,16783642688.370605,95954093283.86243
13,51203094239266.22,17403341002.035675,101017536553.73538
14,51211630707603.91,17391171117.93268,101028347343.10754
15,51200434622804.375,17409527965.46158,101017551196.41022
16,51860819394622.56,16483922651.244629,95910051827.93518
17,51203844558024.86,17402406879.319946,101020886439.78677
18,51861656588140.83,16482605619.821716,95910592202.48627
19,51512783815440.59,16259110221.684998,96976300671.71243
20,51551784411941.83,16170335721.432037,96777760731.74326
21,51220245234002.24,17358144237.933716,101146773025.17664
22,52480509051072.76,14176462288.31839,95237060450.03369
23,51835198769721.45,16784915399.653992,95953863868.78445
24,52299017215682.93,13360820841.471619,97159008100.50754
25,51202432253081.586,17405384557.19455,101016764055.595
26,51841352809804.97,16828575145.118134,95890224643.33917
27,52496057674126.57,12640637210.66809,97175781848.26651
28,51513897548873.91,16256330610.272156,96973300938.25763
29,51554554503025.38,16164228108.683716,96780605082.21783
30,51216760699623.82,17365316134.655396,101141281361.70856
31,51836475258467.89,16783452519.807343,95954218145.45047
32,51205865204251.88,17398950851.643677,101023947707.64795
33,52664622455862.07,14113447962.866028,94219220772.03137
34,51581346046752.25,16113869560.389984,96773850540.00327
35,51040802323305.42,15156300082.34732,108047232298.7232
36,52150628899561.4,15547688478.602722,94276575089.93036
37,54287067120834.516,10221947113.367523,94030403247.37393
38,57591341440650.234,13479964047.119934,84934936711.46994
39,52399835820987.266,12952834504.712128,97253138364.32675
40,51836314821659.87,16783785327.344177,95954271570.39966
41,55819970535955.81,9500583344.165741,90346995066.71497
42,51837133613470.13,16782084245.154114,95954147046.74799
43,53086455376565.57,15441757266.643738,91998734053.14157
44,51900147420514.14,14692784457.441559,97123821132.92322
45,51539783749755.68,16154502229.475739,96836859487.87402
46,51210307620371.97,15307033040.898224,101560025309.64636
47,51838206785161.305,16777714043.181244,95969139149.67899
48,51551778239753.59,16170349330.071259,96777754215.1359
49,51513104785040.734,16258021537.110779,96976706827.02731
50,52481779888607.18,14174138204.414429,95239997692.55539
51,51581309240347.6,16113928770.78357,96773831850.62973
52,51844391022079.55,16822883822.172516,95892672213.2844
53,55904223107066.086,9231097810.011322,90462169036.91397
54,51542068774826.76,16149799172.47113,96839708592.54434
55,51862733847543.164,16480652165.719238,95908955364.3692
56,52424668277283.89,12914637935.869629,97287850722.82913
57,56325820008544.0,6767458715.817108,92914958544.29489
58,55775671042617.266,6944410888.746643,94348213112.785
59,51226547260312.67,15504647776.848328,100344590786.74625
60,54211662234977.6,11463044527.387909,92522535479.89697
61,55290753138081.52,16074262727.280731,85506686980.40076
62,51205597676625.414,17399828869.820892,101013722040.02686
63,52284400180115.21,14909966720.518127,95001311888.58893
64,52424858658188.26,12914345892.641876,97287958952.71017
65,52306726647850.23,14869878504.322968,95020233863.80267
66,51838139261575.44,16779088781.792511,95957623995.68909
67,51725504279393.125,12859903841.087128,104048084279.17938
68,51306187856121.82,13995649079.207336,107850709454.65744
69,51545116915717.69,13492031154.893707,103163605886.38773
70,55231809087932.46,10582733292.72873,90992831688.47906
71,52309093831786.25,14865141421.14862,95019560159.42441
72,51543548880415.04,16147092383.065948,96841481940.49799
73,51501890410593.3,16279326921.04477,96963435063.71036
74,51539877695826.6,16154267762.624786,96836547243.0365
75,51543508348900.875,16147761093.530365,96841929848.63882
76,54779739137820.734,11245533709.458801,91340969094.13254
77,51777614958298.33,16936633245.520172,96139472390.94131
78,52879388144156.73,8923041254.172699,103717961838.81866
79,51366181255911.37,15584293958.351654,98586195521.96674
80,55741952717008.33,9156130799.460144,91282772912.91266
81,51226979809402.016,15504021162.668823,100344843377.13284
82,51580791057064.5,16114709949.64087,96772097634.03424
83,51833664927627.664,16787699963.524353,95952235064.65408
84,57597692510220.1,13458709520.819519,84944605866.94855
85,51227745358586.37,15503006919.239197,100345631587.25632
86,52928707455028.33,7361658829.122894,113655634911.55783
87,51899321805182.055,14694687119.979797,97123869997.82706
88,54064532495045.164,9234352905.758911,96520839158.75467
89,54690146258182.24,8710841819.129333,94764955720.08725
90,52429612329183.75,14948827514.90982,94155783405.28375
91,52606142799295.016,14249755388.91098,94128565948.9607
92,51570406806125.01,13410731702.425568,102741223480.10965
93,51258665686131.25,15675656423.684906,99887177129.65637
94,54576412151316.55,7223510976.980499,98370550296.06097
95,52789854325960.2,13707147559.99707,94480284924.66287
96,51835829977438.33,16783822353.706635,95973028172.28723
97,55288085618905.31,13367128781.775055,87786208960.62054
98,55235238979397.5,5937122994.838257,99249715095.85431
99,51577170474120.25,16089119204.726562,96805578613.21136
100,51618083394974.21,16056017441.318512,96724745858.56958
101,50973831447667.48,15270632506.624878,108060781441.38669
102,52670325342781.836,14189429499.830414,94138163639.61206
103,56066757554256.266,8285447007.975555,91694666124.10562
104,55666517130492.266,7167836266.370575,94200518926.92899
105,52696794228810.445,13567146451.093811,95305774744.09799
106,53100263250243.67,14769068028.093323,92355442904.19482
107,55931582256036.97,8760317495.641998,91188795857.02621
108,52126920475788.59,11201365797.410797,105789373563.30246
109,55515144659282.16,7493177383.340942,94006127420.71933
110,52255762397133.04,11584940498.523224,101563398670.98132
111,52327668223696.5,14589921350.220795,95289809136.37909
112,55979546240907.56,8302817133.267487,91994486913.00214
113,55293644963643.53,16069901155.10846,85504927490.95554
114,51214580871108.15,15300092388.875,101560109444.05008
115,51244534605479.03,15486449282.222809,100342606576.11362
116,54906426730558.41,13138194509.797302,88704271022.47476
117,54441251629915.62,15948904630.513428,86984106984.54086
118,53227169109415.61,12077063088.906189,95279394593.07825
119,55883855167617.516,9257483727.308197,90569728391.30255
120,51806103453521.45,16593961619.113281,96040094035.47137
121,51631037083784.77,12992002275.615997,106321707953.20438
122,54206826438473.13,6318207595.108795,102322212563.09933
123,52912465515685.234,12099038748.59317,96450778506.58548
124,54397394123993.87,12953970751.789978,90269774936.01926
125,52150764093392.734,11509114428.274689,103569161085.58136
126,54241722365496.39,10304436695.177856,94210300694.86923
127,54244975061255.81,9024649850.651794,96422948488.98001
128,57294534022899.28,6654906982.045715,91306929581.20468
129,51549116930014.2,13252007442.908936,106423456884.94995
130,52429993848836.69,14947986328.10257,94156186214.40973
131,54235358682708.15,6278589376.601349,102375940334.5051
132,54774303326796.38,8538060403.075195,94961252080.03891
133,52733223424663.484,13796968626.55484,94506370806.44522
134,54297663602151.445,11201392814.30075,92463622903.91965
135,51629403555854.7,13724915025.98288,101045056706.69449
136,51404618687519.79,15821326338.22171,97823850496.13004
137,54346479015885.55,6307160031.878387,101805562351.06305
138,55921256216544.445,10721284312.570435,88839469497.16357
139,55191339524373.77,15868124759.043854,85727072062.77783
140,51627066585709.87,16191216847.091797,96583020514.25824
141,53218340630338.5,12136051600.156006,95260192410.03027
142,55867788402523.77,8709370904.772217,91400063161.25012
143,53847158455443.0,11741420308.234894,93157456947.3822
144,51599659420530.32,16291258319.006958,96547575660.94012
145,53084658724215.516,11994703344.337372,96359425669.28625
146,54816176359176.76,8464876791.316772,94857073717.28894
147,53809408504079.04,11463906428.619629,94055790180.5145
148,55558826261387.25,7426180814.708588,94048154332.39908
149,52670791691800.86,14188354780.437805,94137951887.0397
150,53809634858342.96,11463435991.240234,94055135121.02972
151,51412597882828.38,15802937973.315002,97823923769.05774
152,51209893914329.49,17395528451.00815,101015063190.56042
153,51378786026621.44,15564069582.685242,98592520343.69312
154,54458430701101.75,9989292423.368256,94031262789.8656
155,54774051037251.77,8538542413.532013,94960511569.34958
