Feedstock,District,Value
corn,1710,164870.708903324
corn,1720,96409.291126496
corn,1730,113869.290534656
corn,1740,141647.35541295094
corn,1750,149856.303478818
corn,1760,163213.243535129
corn,1770,155057.964319553
corn,1780,65054.415916863
corn,1790,68218.592619847
corn,1810,82527.074307789
corn,1820,74833.775119692
corn,1830,61847.152700145
corn,1840,68912.603816972
corn,1850,116007.678067932
corn,1860,47117.461075794
corn,1870,72390.298857876
corn,1880,22206.625644891
corn,1890,19314.509627243
corn,1910,183910.354180623
corn,1920,176888.379290148
corn,1930,152837.715485796
corn,1940,185728.90562048994
corn,1950,178820.250094363
corn,1960,133415.815751134
corn,1970,100657.650153843
corn,1980,51285.849495652
corn,1990,85172.541695128
corn,2010,71642.282314051
corn,2020,40142.872892489
corn,2030,75010.696554544
corn,2040,62800.755397574
corn,2050,35594.413093895004
corn,2060,59636.922880033
corn,2070,68170.98556115
corn,2080,0.0
corn,2090,0.0
corn,2610,0.0
corn,2620,2458.285948329
corn,2630,2811.369627097
corn,2640,6023.853495558
corn,2650,24327.701722802
corn,2660,45629.38654302
corn,2670,35077.951404294
corn,2680,71403.751077873
corn,2690,40526.118425866
corn,2710,87850.873430184
corn,2720,2948.0268283789997
corn,2730,26.34910546
corn,2740,159631.341646882
corn,2750,137126.761887631
corn,2760,17492.125203927
corn,2770,143234.704277757
corn,2780,158275.454356177
corn,2790,96302.927909802
corn,2910,86008.204323461
corn,2920,0.0
corn,2930,0.0
corn,2940,0.0
corn,2950,0.0
corn,2960,0.0
corn,2970,0.0
corn,2980,0.0
corn,2990,57436.395609114
corn,3110,38045.233192552994
corn,3120,33561.007381652
corn,3130,162791.952256834
corn,3150,96710.278564769
corn,3160,205516.209901533
corn,3170,92974.49037347594
corn,3180,88197.767031896
corn,3190,153529.568897169
corn,3810,16975.219573784
corn,3820,31265.942628331
corn,3830,58268.698534275
corn,3840,13643.067019978
corn,3850,63544.670246446
corn,3860,96649.567773392
corn,3870,0.0
corn,3880,24358.281213363
corn,3890,110539.818418571
corn,3910,82977.346971631
corn,3920,57136.130940037
corn,3930,21382.926951119
corn,3940,76480.80181486
corn,3950,76033.058438518
corn,3960,8574.274912535995
corn,3970,33950.192693794
corn,3980,15704.01019812
corn,3990,7054.137917354
corn,4610,7977.639260731
corn,4620,127208.922980119
corn,4630,95547.787273633
corn,4640,0.0
corn,4650,77242.955659409
corn,4660,104476.576025261
corn,4670,4814.765646667
corn,4680,18531.543995771994
corn,4690,104519.074327894
corn,5510,24350.41189175
corn,5520,16498.85801758
corn,5530,10585.628070581
corn,5540,51912.697790159
corn,5550,24024.980002676
corn,5560,32838.439516937
corn,5570,45693.756100523
corn,5580,66640.099701122
corn,5590,19847.130631167
soy,1710,164870.708903324
soy,1720,96409.291126496
soy,1730,113869.290534656
soy,1740,141647.35541295094
soy,1750,149856.303478818
soy,1760,163213.243535129
soy,1770,155057.964319553
soy,1780,65054.415916863
soy,1790,68218.592619847
soy,1810,82527.074307789
soy,1820,74833.775119692
soy,1830,61847.152700145
soy,1840,68912.603816972
soy,1850,116007.678067932
soy,1860,47117.461075794
soy,1870,72390.298857876
soy,1880,22206.625644891
soy,1890,19314.509627243
soy,1910,183910.354180623
soy,1920,176888.379290148
soy,1930,152837.715485796
soy,1940,185728.90562048994
soy,1950,178820.250094363
