group,hub,Latitude,Longitude
20,1,45.8976095,-91.4167541
20,2,45.4103375,-87.5612592
20,3,42.5888293,-85.847931
20,4,40.8423769,-89.1455236
20,5,41.5867864,-91.9169699
20,6,39.3810766,-92.8529668
20,7,37.4255147,-92.7516341
20,8,39.2061797,-96.5397579
20,9,38.4209992,-99.9107239
20,10,41.4560446,-100.5003664
20,11,43.8884404,-100.4832317
20,12,45.7340502,-97.226894
20,13,42.4938897,-95.1638624
20,14,46.4894676,-94.4974182
20,15,47.2910174,-101.6765466
20,16,38.3702014,-88.6071352
20,17,40.0408225,-86.0151217
20,18,43.4846509,-83.5768977
20,19,39.9590101,-82.5065139
