Feedstock,District,Value
corn,17,1118197.165847637
corn,18,565157.179218334
corn,19,1248717.461767177
corn,20,530821.884494138
corn,26,228832.855655486
corn,27,802888.564646199
corn,29,404275.85883271997
corn,31,871326.507599882
corn,38,427378.35264685005
corn,39,379292.880837969
corn,46,546365.647534664
corn,55,292392.00172249496
soy,17,1118197.165847637
soy,18,565157.179218334
soy,19,1248717.461767177
soy,20,530821.884494138
soy,26,228832.855655486
soy,27,802888.564646199
soy,29,404275.85883271997
soy,31,871326.507599882
soy,38,427378.35264685005
soy,39,379292.880837969
soy,46,546365.647534664
soy,55,292392.00172249496
grass,17,0.0
grass,18,0.0
grass,19,0.0
grass,20,0.0
grass,26,0.0
grass,27,0.0
grass,29,0.0
grass,31,0.0
grass,38,0.0
grass,39,0.0
grass,46,0.0
grass,55,0.0
grass_ML,17,38041.41427
grass_ML,18,42029.56254
grass_ML,19,116184.3194
grass_ML,20,1665595.4033445863
grass_ML,26,215664.0178
grass_ML,27,147921.4993
grass_ML,29,31089.1558
grass_ML,31,0.0
grass_ML,38,0.0
grass_ML,39,29089.08145
grass_ML,46,0.0
grass_ML,55,87799.26412
algae,17,0.0
algae,18,0.0
algae,19,0.0
algae,20,0.0
algae,26,0.0
algae,27,0.0
algae,29,0.0
algae,31,0.0
algae,38,0.0
algae,39,0.0
algae,46,0.0
algae,55,0.0
algae_ML,17,0.0
algae_ML,18,0.0
algae_ML,19,0.0
algae_ML,20,0.0
algae_ML,26,0.0
algae_ML,27,0.0
algae_ML,29,0.0
algae_ML,31,0.0
algae_ML,38,0.0
algae_ML,39,0.0
algae_ML,46,0.0
algae_ML,55,0.0
