Feedstock,District,Value
corn,17,0.0
corn,18,0.0
corn,19,0.0
corn,20,0.0
corn,26,0.0
corn,27,0.0
corn,29,0.0
corn,31,871326.507599882
corn,38,0.0
corn,39,0.0
corn,46,0.0
corn,55,0.0
soy,17,0.0
soy,18,0.0
soy,19,0.0
soy,20,0.0
soy,26,0.0
soy,27,0.0
soy,29,0.0
soy,31,871326.507599882
soy,38,0.0
soy,39,0.0
soy,46,0.0
soy,55,0.0
grass,17,2236394.331695274
grass,18,1130314.358436668
grass,19,2497434.923534354
grass,20,785017.6672736609
grass,26,457665.711310972
grass,27,1605777.129292398
grass,29,808551.7176654399
grass,31,0.0
grass,38,854756.7052937001
grass,39,758585.761675938
grass,46,1092731.295069328
grass,55,584784.0034449899
grass_ML,17,38041.41427
grass_ML,18,42029.56254
grass_ML,19,116184.3194
grass_ML,20,5309121.378
grass_ML,26,215664.0178
grass_ML,27,147921.4993
grass_ML,29,31089.1558
grass_ML,31,5547718.248
grass_ML,38,2456067.309
grass_ML,39,29089.08145
grass_ML,46,5363091.384
grass_ML,55,87799.26412
algae,17,0.0
algae,18,0.0
algae,19,0.0
algae,20,276626.10171461507
algae,26,0.0
algae,27,0.0
algae,29,0.0
algae,31,0.0
algae,38,0.0
algae,39,0.0
algae,46,0.0
algae,55,0.0
algae_ML,17,0.0
algae_ML,18,0.0
algae_ML,19,0.0
algae_ML,20,0.0
algae_ML,26,0.0
algae_ML,27,0.0
algae_ML,29,0.0
algae_ML,31,0.0
algae_ML,38,0.0
algae_ML,39,0.0
algae_ML,46,0.0
algae_ML,55,0.0
