,0,1
0,68972550045.91328,310070353.5730967
1,68941452336.32845,456535940.35463554
2,68941452339.5504,334485059.63525224
3,68951885326.92944,310090425.98609227
4,68947645358.0142,311504735.75838614
5,68942898032.4923,313183462.46920824
6,68941452416.39833,321309249.3413385
7,68941820015.54967,313646632.52190685
8,68941516454.03323,320680101.44354546
9,68942707965.42888,313184336.69172263
10,68942223790.19771,313448289.56806624
11,68942090262.70451,313450038.7020511
12,68941460336.39713,321297703.9815861
13,68941454765.73119,321309247.69546425
14,68942898032.4923,313183462.46920824
15,68941452339.5504,334485059.63525224
16,68972619985.72969,310071292.06005234
17,68941452336.32845,456535940.3546357
18,68941452339.5848,334485059.635887
19,68959592825.16107,311018753.7042807
20,68955101599.25667,311606852.9878039
21,68942898032.49637,313183462.46927416
22,68941452417.12001,321309249.35077596
23,68941452339.70256,334485059.63525224
24,68941821164.76277,313646652.3569608
25,68941516454.04358,320680101.4437258
26,68942243382.49759,313448369.4037308
27,68942722160.01767,313184517.0165019
28,68941470843.0617,321297832.9844971
29,68941462119.57436,321297942.2063531
30,68941470770.5676,321297834.2090341
31,68941821164.76277,313646652.3569608
32,68941452336.32845,456535940.3546357
33,68941452417.12001,321309249.35077596
34,68973222851.75632,310078706.54005694
35,68941452336.32977,456535940.3546605
36,68941452339.61157,334485059.6365522
37,68957553430.27339,311606852.98798525
38,68963615602.21924,311039669.66186816
39,68942898874.02641,313183475.6834009
40,68941452433.24388,321309249.561775
41,68941452339.70587,334485059.63531595
42,68941821180.17178,313646652.5978523
43,68941516455.5853,320680101.45337665
44,68942243382.49828,313448369.40374374
45,68942722160.01773,313184517.0165028
46,68941470843.0617,321297832.9844972
47,68941462119.6108,321297942.20677716
48,68941452339.61935,334485059.63654685
49,68941452339.70486,334485059.63579917
50,68963615602.21924,311039669.66186816
51,68941452339.61157,334485059.6365522
52,69008923025.38574,310259507.93155175
53,68941452336.33008,456535940.3546641
54,68941452339.61443,334485059.6365522
55,68978145319.14095,310646628.1468704
56,69002155091.57495,310397384.8422302
57,68960648898.15811,311665826.11225086
58,68942910406.02571,313183662.7603738
59,68970174999.11638,311095721.7309485
60,68966046138.6626,311412412.0646318
61,68941452433.24603,321309249.56179655
62,68941452339.71092,334485059.63531595
63,68941821180.17227,313646652.5978624
64,68941531862.44337,320680183.1306783
65,68942729877.97491,313184610.6256388
66,68942292374.7396,313449014.0237849
67,68942289262.17566,313449192.56681424
68,68941520399.55154,321296654.0310537
69,68941521189.31216,320680197.91408336
70,68941470866.25551,321297833.1677902
71,68941462120.05164,321297942.2139129
72,68941452339.61948,334485059.6365494
73,68941821180.17227,313646652.5978624
74,68941821180.17227,313646652.5978624
75,68942910406.02571,313183662.7603738
76,68941821180.17227,313646652.5978624
77,68941821180.17227,313646652.5978624
78,68941462120.05164,321297942.2139129
79,68941821180.17227,313646652.5978624
80,68941821180.17227,313646652.5978624
81,68941452336.33008,456535940.3546641
82,69022299445.0083,310424209.03367543
83,68941452336.35136,456535940.35486627
84,68941452339.61662,334485059.6365522
85,68987936084.46652,310647587.6672444
86,68942911235.54845,313183675.72879887
87,68962269273.50992,311751160.80998456
88,68978576920.34082,310650053.99491364
89,68971103124.73392,311117816.3608875
90,68962287990.25261,311686923.2770378
91,68941452433.28888,321309249.56222755
92,68941452339.71597,334485059.6355287
93,68941821180.26596,313646652.59932715
94,68941720341.68193,320682752.73967683
95,68942300786.35342,313449120.1658373
96,68942293750.47612,313449228.05439204
97,68941564812.96484,321297451.22626305
98,68941697358.49982,320682814.18740726
99,68941471018.2293,321297833.2546724
