,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
0,33729.258165491774,94611.64063169736,35896.130006425155,2.5247540839047443e-12,1.2319463801360433e-12,1.7625064450097308e-14,5.749113771526747e-13,31422.35240206034,8.3423194402252e-12,52631.62610801123,7.736789249764244e-13,1.5213101817895595e-12,64903.9029276815,284.84009283689915,224656.82928881634,23843.52570341804,36738.86372976812,3.4013307877081405e-09,8.512705994174937e-14,79108.67844798678,1.1737595616423107e-11,2.1658849326245808e-11,5.579711625958357e-05,27361445.226325475,4.664234954418371e-09,309532273.2839526,230415104.84037435,2.6489228735780338e-08,349723883.75995284,187470712.88955864,1.3134477432703373e-08,115533183.13672635,187.3607932419742,1.9899682217744196e-08,333604811.6228069,282030699.5826165,1.5433551219221383e-11,3.1454288363158685e-10,1.576352922682442e-10
1,35640.93180579422,109438.84817762813,37889.228230708846,2.5247540839047443e-12,1.2319463801360433e-12,1.7616368448912865e-14,5.748693996472116e-13,31499.64322111302,8.34234680519557e-12,51678.617877045595,7.735847262219939e-13,1.5211413668022975e-12,69643.21093847536,150.59429006132422,224923.4832002975,26288.606256466253,35762.77836753148,2.270123085160711e-08,8.511859782125906e-14,59655.60608993337,1.1737795431560546e-11,2.165905212374034e-11,5.579708684855824e-05,93792364.22508751,4.664234954418371e-09,309532273.28306353,260553536.27514687,2.6489228735780338e-08,315686478.1625126,187470712.88955864,1.31344774882444e-08,115452238.67154668,187.34746797429526,1.9899682217744196e-08,271154031.1417989,282030699.25773615,1.5433551219221383e-11,3.145428808298407e-10,1.576352922682442e-10
2,33491.00455556072,88122.7531530663,35020.383193381764,2.524753894016331e-12,1.2317434851341277e-12,1.7611353781603845e-14,5.749189137413668e-13,31499.650153842256,8.325353516390965e-12,50491.37122147254,7.736525528761672e-13,1.5213207171988922e-12,67855.88400182419,2.8716467554019887,205913.98958466857,15486.589527188262,29676.55868215815,5.528797202154157e-08,8.532854534113092e-14,35893.21613682963,1.1737495891307849e-11,2.1658973181641955e-11,6.840387035197767e-09,52166270.47326776,4.664234954418371e-09,347178135.5661333,230415104.84037435,2.6489228757278553e-08,332905574.4571813,187470712.88955864,1.3134477432981347e-08,115504346.29428431,29.088341681624712,1.9899682209711217e-08,304429652.80819607,265602479.9985231,1.5433535489748535e-11,3.1454252741808236e-10,1.5763512127773593e-10
3,33741.567104131944,113033.18117165133,36568.065421284504,2.5247540839047443e-12,1.2319463801360433e-12,1.7602990253172175e-14,5.748660350175517e-13,31221.454831194755,8.342417604062074e-12,48807.08809176819,7.73559949401247e-13,1.521118835672895e-12,69325.004542353,12.879108807448233,213189.27783384663,24235.512806765586,29209.36453236386,4.027483775371152e-09,8.516988594838708e-14,67643.34644349254,1.1737758919946829e-11,2.1658976875967156e-11,5.579711600322131e-05,86425300.18929632,4.664234954418371e-09,309415784.0274797,230415104.84032094,2.6489228735780338e-08,325910297.03729135,187470712.88955864,1.313447733239357e-08,115533183.13672635,0.07002364571522562,1.9899682217744196e-08,298471436.5831116,282030699.25708157,1.5433551219221383e-11,3.1454256384570464e-10,1.576352922682442e-10
4,33438.433661577496,90661.62753823286,34888.740025874096,2.5247734283400615e-12,1.2317408583247451e-12,1.762371539832413e-14,5.747748973736308e-13,31495.06114988395,8.3423710408987e-12,50572.223661852244,7.735987709651773e-13,1.5214703974119851e-12,67911.67383980761,4.433333907440904,194405.97661269864,12497.769106605796,36537.59718163481,2.336162895495991e-09,8.521916997882074e-14,54322.030870639974,1.173763554137071e-11,2.1658841164797816e-11,1.8043087322055083e-07,37787168.19875638,4.664234954418371e-09,309532273.732859,230415104.84037435,2.6489228754201812e-08,349723883.75995284,187470712.88955864,1.3134477453199192e-08,111339904.19514003,55.25084324610795,1.9899682154569895e-08,327372499.57404417,282030699.2624566,1.543375393373229e-11,3.145380495087796e-10,1.5763533160028958e-10
5,33757.5719449801,94481.44263900052,40909.40791565968,2.5247540839047443e-12,1.2319463801360433e-12,1.7625064450097308e-14,5.749113771526747e-13,31420.597766198523,8.3423194402252e-12,50089.00621300239,7.736789249764244e-13,1.5213101817895595e-12,71916.2950582645,453.9982440889998,224632.41695577744,24076.40348577925,22597.302456678703,6.201447217999068e-08,8.512705994174937e-14,73549.42282408105,1.1737595616423107e-11,2.1658849326245808e-11,5.579711625957398e-05,27361445.226325475,4.664234954418371e-09,309532273.2839526,230415104.84037435,2.6489228735780338e-08,349723883.75995284,187470712.88955864,1.3134477432703373e-08,115533183.13672635,187.3607932419742,1.9899682217744196e-08,333604811.6228069,282030699.5826165,1.5433551219221383e-11,3.1454288363158685e-10,1.576352922682442e-10
6,33861.969670833874,101852.40519368649,39908.491748676264,2.5247540839047443e-12,1.2319463801360433e-12,1.7625064450097308e-14,5.749113771526747e-13,31419.84945956869,8.3423194402252e-12,50098.572143731515,7.736789249764244e-13,1.5213101817895595e-12,72949.95477104491,511.0872557700585,226127.91130403723,27434.1075421773,23285.8512183208,7.074896185833385e-08,8.512705994174937e-14,72201.60144018597,1.1737595616423107e-11,2.1658849326245808e-11,5.579711625958357e-05,27361445.226325475,4.664234954418371e-09,309532273.2839526,230415104.84037435,2.6489228735780338e-08,349723883.75995284,187470712.88955864,1.3134477432703373e-08,115533183.13672635,187.3607932419742,1.9899682217744196e-08,333604811.6228069,282030699.5826165,1.5433551219221383e-11,3.1454288363158685e-10,1.576352922682442e-10
7,33731.06461123476,85514.93154085314,35901.221939362644,2.5247540839047443e-12,1.2319463801360433e-12,1.7625064450097308e-14,5.749113771526747e-13,31425.666832855964,8.3423194402252e-12,52592.384468070646,7.736789249764244e-13,1.5213101817895595e-12,73355.21882226403,511.8781000565381,224715.21194046462,26941.978467362853,22825.776651525273,1.4313675352650432e-09,8.512705994174937e-14,72983.62623746545,1.1737595616423107e-11,2.1658849326245808e-11,5.5797116260850395e-05,27361445.226325475,4.664234954418371e-09,309532273.2839526,230415104.84037435,2.6489228735780338e-08,349723883.75995284,187470712.88955864,1.3134477432703373e-08,115533183.13672635,187.3607932419742,1.9899682217744196e-08,333604811.6228069,282030699.5826165,1.5433551219221383e-11,3.1454288363158685e-10,1.576352922682442e-10
8,33597.58253057047,94596.96564463439,39906.30716676134,2.5247540839047443e-12,1.2319463801360433e-12,1.7625064450097308e-14,5.749113771526747e-13,31500.621885721717,8.3423194402252e-12,51867.80834469952,7.736789249764244e-13,1.5213101817895595e-12,73242.20845208084,142.9201109553036,225378.5689921113,28501.152622242094,37814.82595462292,7.036710815785714e-08,8.512705994174937e-14,67517.13074006958,1.1737595616423107e-11,2.1658849326245808e-11,5.579711625958357e-05,27361445.226325475,4.664234954418371e-09,309532273.2839526,230415104.84037435,2.6489228735780338e-08,349723883.75995284,187470712.88955864,1.3134477432703373e-08,115533183.13672635,187.3607932419742,1.9899682217744196e-08,333604811.6228069,282030699.5826165,1.5433551219221383e-11,3.1454288363158685e-10,1.576352922682442e-10
9,35514.086537173236,94618.2621093562,39938.35235958022,2.5247540839047443e-12,1.2319463801360433e-12,1.7625064450097308e-14,5.749113771526747e-13,31439.236583877737,8.3423194402252e-12,51938.33809040544,7.736789249764244e-13,1.5213101817895595e-12,73242.10647417256,511.96960948922646,229288.17345373888,28596.35551862068,39348.79133480489,2.9491466171063987e-09,8.512705994174937e-14,72645.94493706376,1.1737595616423107e-11,2.1658849326245808e-11,5.579711625958414e-05,27361445.226325475,4.664234954418371e-09,309532273.2839526,230415104.84037435,2.6489228735780338e-08,349723883.75995284,187470712.88955864,1.3134477432703373e-08,115533183.13672635,187.3607932419742,1.9899682217744196e-08,333604811.6228069,282030699.5826165,1.5433551219221383e-11,3.1454288363158685e-10,1.576352922682442e-10
