,biomass_cost_corn,biomass_cost_soy,min_energy_shortfall,energy_differences
0,24447847994,1.98644E+12,9942167228,1.74672E+11
1,23558924162,1.98401E+12,11275234338,2.03125E+11
2,23601052537,1.9812E+12,11293474733,1.94672E+11
3,23590473030,1.97589E+12,11412877477,1.96772E+11
4,23624232059,1.9861E+12,11152867571,2.01406E+11
5,23540808261,1.98E+12,11364503486,1.96909E+11
6,23678151996,1.99107E+12,10653707901,1.87988E+11
7,23521247381,1.98154E+12,11475528981,1.98539E+11
8,24329963210,1.99376E+12,10221107835,1.76127E+11
9,24130102021,1.98439E+12,10655736773,1.81386E+11
10,23520423715,1.97927E+12,11411794653,2.01077E+11
11,23572297329,1.98388E+12,11262011282,2.02511E+11
12,23622527247,1.98598E+12,11175912169,2.018E+11
13,23701276036,1.99293E+12,10603984280,1.88123E+11
14,24492431807,2.05223E+12,8902513223,1.93475E+11
15,24133309704,1.98454E+12,10650952066,1.81243E+11
16,24583138389,2.0088E+12,9695402572,1.7027E+11
17,25080551264,2.05199E+12,8095209343,1.78045E+11
18,23596671415,1.97651E+12,11303695443,1.94655E+11
19,23729178211,1.98046E+12,10898516331,1.83495E+11
20,24266059093,2.01622E+12,9663611901,1.8227E+11
21,24639840541,1.9993E+12,9709529516,1.70823E+11
22,24742057610,1.99906E+12,9358073191,1.77357E+11
23,24524099062,2.01331E+12,9281233831,1.73367E+11
24,24226212269,1.99831E+12,10281549359,1.79937E+11
25,23684318891,1.98271E+12,11173734399,1.9794E+11
26,23557082272,1.97441E+12,11462800913,1.96417E+11
27,24720040572,2.03035E+12,8791049482,1.73934E+11
28,23599600257,1.979E+12,11296650595,1.93404E+11
29,24295218997,1.99223E+12,10258506715,1.76488E+11
30,23657950095,1.98488E+12,11107482670,1.96633E+11
31,24327496129,1.99297E+12,10249198389,1.75992E+11
32,24951521110,2.0148E+12,8943239126,1.78701E+11
33,23828322031,1.98836E+12,10700053060,1.83688E+11
34,23723300300,1.98167E+12,10890195104,1.83765E+11
35,23602857119,1.98215E+12,11202789585,1.97701E+11
36,23612903818,1.97538E+12,11412983898,1.95483E+11
37,23554429297,1.98593E+12,11292290575,2.04113E+11
38,25209504393,2.04538E+12,8485208361,1.73173E+11
39,23590989324,1.97688E+12,11392501486,1.96257E+11
40,24506328964,2.05074E+12,8931458224,1.92457E+11
41,23462520431,1.98985E+12,10817578514,1.91429E+11
42,23772526926,1.98967E+12,10742139775,1.85297E+11
43,23861155848,1.98707E+12,10653547754,1.8525E+11
44,23722424840,1.98228E+12,10894994190,1.84108E+11
45,24586247244,2.00765E+12,9732394000,1.69276E+11
46,23560368020,1.98009E+12,11275639755,1.9856E+11
47,24187193217,2.03001E+12,9409957888,1.89317E+11
48,24665138659,2.02654E+12,8889020581,1.73854E+11
49,24268199548,2.03013E+12,9478898095,1.86884E+11
50,24717487109,2.02971E+12,8826989621,1.73878E+11
51,23640913774,1.9772E+12,11380967612,1.93659E+11
52,25128210722,2.05374E+12,8064931587,1.77641E+11
53,25110902382,2.04229E+12,8499762104,1.73247E+11
54,23789286771,1.98421E+12,10800415504,1.82961E+11
55,24222935988,2.02787E+12,9542352802,1.87007E+11
56,24653829226,2.02587E+12,8977306643,1.73751E+11
57,24760390715,2.03484E+12,8692708294,1.74469E+11
58,23738526790,1.9923E+12,10474067159,1.87612E+11
59,24824781022,2.04482E+12,8498072507,1.75344E+11
60,24237637420,1.99525E+12,10316153251,1.78755E+11
61,24201950902,1.99948E+12,10320628230,1.78807E+11
62,24220714845,1.98915E+12,10461741901,1.76949E+11
63,25041148134,2.04821E+12,8118927088,1.76683E+11
64,25167678122,2.04296E+12,8583712473,1.71555E+11
65,24623567773,2.03003E+12,8913521844,1.76736E+11
66,24934033843,2.04202E+12,8462862047,1.77201E+11
67,24513125769,2.04986E+12,8937550598,1.89407E+11
68,24795401608,2.01464E+12,9077053074,1.78084E+11
69,23591529317,1.97614E+12,11314209408,1.94613E+11
70,24888621277,2.03976E+12,8502005733,1.74237E+11
71,24669941538,2.05687E+12,8118125436,1.84835E+11
72,24205819383,2.01428E+12,9774755478,1.89603E+11
73,25705104812,2.10036E+12,8059059105,1.72623E+11
74,24273268301,1.99405E+12,10286945235,1.77723E+11
75,23741443916,1.98269E+12,10880312883,1.83727E+11
76,25355346470,2.06393E+12,7964695048,1.7459E+11
77,24745909603,2.00757E+12,9478623088,1.71206E+11
78,24208187609,1.99718E+12,10263477152,1.80146E+11
79,25114982775,2.06631E+12,7773866004,1.77155E+11
80,24973422424,2.05044E+12,8233978465,1.74985E+11
81,24566936305,2.0129E+12,9284912988,1.73916E+11
82,23603866674,1.98283E+12,11205521136,1.95484E+11
83,24828079282,2.04507E+12,8494171033,1.75408E+11
84,24494855217,2.00339E+12,9868231616,1.69818E+11
85,24625466521,2.03108E+12,8819278774,1.77025E+11
86,24623836123,2.00917E+12,9681384855,1.69418E+11
87,23703282851,1.99265E+12,10610155426,1.87879E+11
88,24107532025,2.02122E+12,9745172205,1.87346E+11
89,23935210288,2.0062E+12,9925708289,1.83392E+11
90,24237654235,2.00336E+12,10227725757,1.7961E+11
91,25066691982,2.05755E+12,7933544401,1.75491E+11
92,23489309598,1.97798E+12,11447319923,1.9914E+11
93,24088878901,2.02254E+12,9718516311,1.86719E+11
94,24086451147,2.01816E+12,9775403435,1.88207E+11
95,25529826382,2.06163E+12,7859871953,1.77963E+11
96,24446777772,2.04473E+12,9047995205,1.92056E+11
97,24989563919,2.02085E+12,8821963556,1.79086E+11
98,24905385262,2.04396E+12,8256754871,1.7594E+11
99,24600294369,1.99535E+12,9803879274,1.73521E+11
100,24111868764,1.98326E+12,10691518746,1.81223E+11
101,23448478455,1.97415E+12,11730145885,2.00192E+11
102,24938879574,2.03379E+12,9042944082,1.70724E+11
103,25553391563,2.07213E+12,7746512110,1.72775E+11
104,24603251438,2.00892E+12,9683994970,1.69817E+11
105,25098950308,2.05449E+12,8043276139,1.78288E+11
106,25017809651,2.05469E+12,8156839731,1.7507E+11
107,24873086547,2.01483E+12,8967723472,1.75707E+11
108,24205866913,2.02344E+12,9550350874,1.9005E+11
109,25480010096,2.0805E+12,8545993046,1.71778E+11
110,23829527354,1.99017E+12,10654575004,1.84294E+11
111,24769298419,2.0254E+12,9432475503,1.70459E+11
112,23836328463,1.99952E+12,10104839072,1.82682E+11
113,24797994345,2.03898E+12,8581685308,1.7481E+11
114,23550300955,1.97751E+12,11364322619,1.9677E+11
115,25214082797,2.06048E+12,7870186347,1.78073E+11
116,24172977103,1.987E+12,10502652029,1.76826E+11
117,24122099529,1.98606E+12,10602112690,1.81433E+11
118,24453904809,2.00342E+12,9795902273,1.69853E+11
119,23939420285,2.00249E+12,9984949591,1.81927E+11
120,25267385401,2.06543E+12,7694631813,1.78553E+11
121,23664709749,1.99312E+12,10500570357,1.89656E+11
122,23747003599,1.9833E+12,10858135634,1.841E+11
123,23574713363,1.97833E+12,11330837820,1.93975E+11
124,24536807532,2.02237E+12,9059430918,1.77288E+11
125,25186204338,2.04554E+12,8396123970,1.72943E+11
126,24190920275,2.03115E+12,9385236930,1.89303E+11
127,24629402582,2.03099E+12,8773914647,1.76447E+11
128,25277666816,2.06562E+12,7705347502,1.78536E+11
129,25043576807,2.05439E+12,8049449252,1.78791E+11
130,24076271720,2.02458E+12,9575870925,1.88915E+11
131,23807808972,1.99237E+12,10602945835,1.84718E+11
132,24236675595,1.99262E+12,10343846213,1.79907E+11
133,24128742322,2.02179E+12,9720431760,1.8624E+11
134,24092031406,2.02015E+12,9774487186,1.86301E+11
135,25114948242,2.04239E+12,8507382039,1.72685E+11
136,23526395283,1.98043E+12,11364960614,1.9902E+11
137,24227143685,1.99952E+12,10337488499,1.78152E+11
138,25163586022,2.06592E+12,7665819899,1.76191E+11
139,24455226957,2.04962E+12,8957758329,1.89653E+11
140,24144483476,2.0235E+12,9728721686,1.86033E+11
141,23626029710,1.97998E+12,11235661798,1.93185E+11
142,24142765528,2.02362E+12,9727199577,1.86098E+11
143,24236288816,1.99435E+12,10306283078,1.79634E+11
144,23523991341,1.98905E+12,10773862215,1.90227E+11
145,23919463661,2.00244E+12,10054013824,1.82819E+11
146,24600623016,1.99487E+12,9577141053,1.74195E+11
147,24207792665,1.99181E+12,10380456199,1.79528E+11
148,24234884002,1.99457E+12,10285968667,1.79626E+11
149,25212954156,2.07044E+12,7526134613,1.76371E+11
150,24571284206,2.00808E+12,9731274126,1.70043E+11
151,24959312646,2.01598E+12,9128444024,1.73918E+11
152,23697306255,1.97763E+12,11265157005,1.91788E+11
153,25244068531,2.06265E+12,7779844359,1.78233E+11
154,24491699306,2.01859E+12,9191968173,1.75755E+11
155,23934950964,2.01571E+12,9911435957,1.89445E+11
156,24202411539,2.02848E+12,9501468239,1.88453E+11
157,23719153785,1.99253E+12,10599471983,1.87533E+11
158,24421680011,2.00537E+12,9760387803,1.70434E+11
159,23714744043,1.99284E+12,10607216214,1.87794E+11
160,23710371990,1.98197E+12,11111163052,1.93524E+11
161,23566486290,1.98087E+12,11308562719,1.95439E+11
162,25129781655,2.06403E+12,7784773579,1.76832E+11
163,25102596956,2.06401E+12,7831087461,1.75935E+11
164,24072244904,1.98653E+12,10745109504,1.83994E+11
165,24154862404,1.99117E+12,10515170658,1.79234E+11
166,23573449069,1.97349E+12,11525857878,1.94011E+11
167,23680926501,1.9778E+12,11299402443,1.92157E+11
168,25155783442,2.05614E+12,7978345465,1.77826E+11
169,24183635850,1.99441E+12,10336093459,1.79581E+11
170,23584018258,1.97992E+12,11303368490,1.94042E+11
171,23510494207,1.97535E+12,11550735213,1.97787E+11
172,24223900862,1.98876E+12,10253421187,1.81508E+11
173,24828772142,2.03895E+12,8547992089,1.74611E+11
174,25505443405,2.06089E+12,7763653453,1.83522E+11
175,23530622747,1.97611E+12,11444728236,1.96591E+11
176,24998926433,2.05251E+12,8091118736,1.76326E+11
177,24904945550,2.05917E+12,8257837689,1.78891E+11
178,23624392174,1.99227E+12,10609801682,1.88146E+11
179,24658337155,2.05117E+12,8252112257,1.83938E+11
180,24172583918,1.99013E+12,10444582642,1.79539E+11
181,25501061312,2.07071E+12,7723986322,1.74664E+11
182,24367300760,2.05559E+12,9010011851,1.92776E+11
183,24741927280,2.02989E+12,8883271520,1.73384E+11
184,24408960221,2.04844E+12,9052524459,1.95424E+11
185,23691326756,1.98978E+12,10650911818,1.87364E+11
186,25414322961,2.0646E+12,7877246016,1.74023E+11
187,23579936716,1.98064E+12,11247369581,1.98416E+11
188,24873502007,2.04401E+12,8489339248,1.7553E+11
189,24134190154,1.98539E+12,10635248641,1.81627E+11
190,23898259282,2.00423E+12,9989484901,1.83252E+11
191,24121030479,2.01891E+12,9599050320,1.86314E+11
192,23654257105,1.98134E+12,11202641535,1.97552E+11
193,23670193461,1.98349E+12,11137896965,1.92473E+11
194,24394141323,1.9936E+12,9872918505,1.72121E+11
195,24761765158,2.04164E+12,8533289589,1.76586E+11
196,24270645680,1.98731E+12,10406552075,1.84192E+11
197,24203913782,2.02827E+12,9489812171,1.86689E+11
198,23773834104,1.98708E+12,10787781206,1.84835E+11
