Feedstock,District,Value
corn,170,375149.29056447605
corn,171,0.0
corn,172,0.0
corn,180,219208.002127626
corn,181,0.0
corn,182,0.0
corn,190,513636.448956567
corn,191,497964.971465987
corn,192,237116.041344623
corn,200,186795.851761084
corn,201,0.0
corn,202,0.0
corn,260,0.0
corn,261,0.0
corn,262,0.0
corn,270,0.0
corn,271,314250.22873844
corn,272,397813.086543736
corn,290,0.0
corn,291,0.0
corn,292,0.0
corn,310,234398.192831039
corn,311,302226.488466302
corn,312,334701.82630254095
corn,380,106509.86073639
corn,381,173837.305039816
corn,382,147031.186870644
corn,390,0.0
corn,391,0.0
corn,392,0.0
corn,460,230734.349514483
corn,461,0.0
corn,462,127865.383970333
corn,550,0.0
corn,551,108776.117309772
corn,552,132180.986432812
soy,170,375149.29056447605
soy,171,0.0
soy,172,0.0
soy,180,219208.002127626
soy,181,0.0
soy,182,0.0
soy,190,513636.448956567
soy,191,497964.971465987
soy,192,237116.041344623
soy,200,186795.851761084
soy,201,0.0
soy,202,0.0
soy,260,0.0
soy,261,0.0
soy,262,0.0
soy,270,0.0
soy,271,314250.22873844
soy,272,397813.086543736
soy,290,0.0
soy,291,0.0
soy,292,0.0
soy,310,234398.192831039
soy,311,302226.488466302
soy,312,334701.82630254095
soy,380,106509.86073639
soy,381,173837.305039816
soy,382,147031.186870644
soy,390,0.0
soy,391,0.0
soy,392,0.0
soy,460,230734.349514483
soy,461,0.0
soy,462,127865.383970333
soy,550,0.0
soy,551,108776.117309772
soy,552,132180.986432812
grass,170,0.0
grass,171,909433.8048537959
grass,172,576661.945712526
grass,180,0.0
grass,181,464075.4859213961
grass,182,227822.86826002
grass,190,0.0
grass,191,0.0
grass,192,0.0
grass,200,0.0
grass,201,316064.182743004
grass,202,371987.882723104
grass,260,11688.185972146
grass,261,151961.88352276
grass,262,294015.641816066
grass,270,181650.498728046
grass,271,0.0
grass,272,0.0
grass,290,420456.475422074
grass,291,235381.594177392
grass,292,152713.648065974
grass,310,0.0
grass,311,0.0
grass,312,0.0
grass,380,0.0
grass,381,0.0
grass,382,0.0
grass,390,322992.809725574
grass,391,322176.270331828
grass,392,113416.681618536
grass,460,0.0
grass,461,375531.828099696
grass,462,0.0
grass,550,102869.795959822
grass,551,0.0
grass,552,0.0
grass_ML,170,19956.74193308951
grass_ML,171,5648.209983868991
grass_ML,172,12436.46235116763
grass_ML,180,18348.68215014664
grass_ML,181,15144.56303040226
grass_ML,182,8536.317355224095
grass_ML,190,57470.1365709956
grass_ML,191,35957.33678824246
grass_ML,192,22756.84603274128
grass_ML,200,1417786.4490910901
grass_ML,201,2216902.41792501
grass_ML,202,1371839.000947534
grass_ML,260,144521.3728804552
grass_ML,261,53677.99559032435
grass_ML,262,17464.64928439944
grass_ML,270,56426.09775669686
grass_ML,271,29361.09155920566
grass_ML,272,62134.30997127268
grass_ML,290,9376.348585119627
grass_ML,291,11080.41193719342
grass_ML,292,10632.39528124913
grass_ML,310,4027101.715821742
grass_ML,311,439440.3371019205
grass_ML,312,1081176.194957539
grass_ML,380,655592.3730001815
grass_ML,381,583705.7004646934
grass_ML,382,1216769.235908819
grass_ML,390,14804.55038973026
grass_ML,391,8920.33163174777
grass_ML,392,5364.199425190025
grass_ML,460,2444898.894164797
grass_ML,461,1553409.751215096
grass_ML,462,1364782.738616412
grass_ML,550,42545.58171985168
grass_ML,551,36745.36608485873
grass_ML,552,8508.31631422758
algae,170,0.0
algae,171,0.0
algae,172,0.0
algae,180,0.0
algae,181,0.0
algae,182,0.0
algae,190,0.0
algae,191,0.0
algae,192,0.0
algae,200,0.0
algae,201,0.0
algae,202,0.0
algae,260,0.0
algae,261,0.0
algae,262,0.0
algae,270,0.0
algae,271,0.0
algae,272,0.0
algae,290,0.0
algae,291,0.0
algae,292,0.0
algae,310,0.0
algae,311,0.0
algae,312,0.0
algae,380,0.0
algae,381,0.0
algae,382,0.0
algae,390,0.0
algae,391,0.0
algae,392,0.0
algae,460,0.0
algae,461,0.0
algae,462,0.0
algae,550,0.0
algae,551,0.0
algae,552,0.0
algae_ML,170,0.0
algae_ML,171,0.0
algae_ML,172,0.0
algae_ML,180,0.0
algae_ML,181,0.0
algae_ML,182,0.0
algae_ML,190,0.0
algae_ML,191,0.0
algae_ML,192,0.0
algae_ML,200,302593.5095862409
algae_ML,201,0.0
algae_ML,202,0.0
algae_ML,260,0.0
algae_ML,261,0.0
algae_ML,262,0.0
algae_ML,270,0.0
algae_ML,271,0.0
algae_ML,272,0.0
algae_ML,290,0.0
algae_ML,291,0.0
algae_ML,292,0.0
algae_ML,310,0.0
algae_ML,311,0.0
algae_ML,312,0.0
algae_ML,380,0.0
algae_ML,381,0.0
algae_ML,382,0.0
algae_ML,390,0.0
algae_ML,391,0.0
algae_ML,392,0.0
algae_ML,460,0.0
algae_ML,461,0.0
algae_ML,462,0.0
algae_ML,550,0.0
algae_ML,551,0.0
algae_ML,552,0.0
